ID,invoice_ID,lineNumber,description,quantity,unitPrice,totalAmount

20000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,1,Software Licenses,10,3000,30000
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,2,Support Services,4,5000,20000

20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000002,1,Cloud Subscription,5,3000,15000
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000002,2,Implementation Services,2,5000,10000

20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000003,1,Steel Materials,6,2000,12000
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000003,2,Transportation Charges,3,2000,6000

20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000004,1,Industrial Equipment,5,10000,50000
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000004,2,Installation Charges,5,5000,25000

20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000005,1,Maintenance Services,3,2000,6000
20000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000005,2,Software Upgrade,2,3000,6000

20000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000006,1,Server Hardware,5,5000,25000
20000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000006,2,Networking Equipment,2,5000,10000

20000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000007,1,Laptop Purchase,4,4000,16000
20000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000007,2,Accessories,2,3000,6000

20000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000008,1,Manufacturing Parts,8,4000,32000
20000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000008,2,Packaging Material,7,2000,14000

20000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000009,1,Warehouse Rental,2,10000,20000
20000000-0000-0000-0000-000000000018,10000000-0000-0000-0000-000000000009,2,Logistics Charges,2,4000,8000

20000000-0000-0000-0000-000000000019,10000000-0000-0000-0000-000000000010,1,Production Machinery,4,10000,40000
20000000-0000-0000-0000-000000000020,10000000-0000-0000-0000-000000000010,2,Maintenance Contract,2,7000,14000

20000000-0000-0000-0000-000000000021,10000000-0000-0000-0000-000000000011,1,Enterprise Software License,10,4000,40000
20000000-0000-0000-0000-000000000022,10000000-0000-0000-0000-000000000011,2,Premium Support Services,2,11000,22000

20000000-0000-0000-0000-000000000023,10000000-0000-0000-0000-000000000012,1,Network Equipment,3,6000,18000
20000000-0000-0000-0000-000000000024,10000000-0000-0000-0000-000000000012,2,Configuration Services,2,6000,12000

20000000-0000-0000-0000-000000000025,10000000-0000-0000-0000-000000000013,1,Raw Materials,5,5000,25000
20000000-0000-0000-0000-000000000026,10000000-0000-0000-0000-000000000013,2,Transportation Charges,3,5000,15000

20000000-0000-0000-0000-000000000027,10000000-0000-0000-0000-000000000014,1,Industrial Machinery,5,12000,60000
20000000-0000-0000-0000-000000000028,10000000-0000-0000-0000-000000000014,2,Installation Charges,5,5000,25000

20000000-0000-0000-0000-000000000029,10000000-0000-0000-0000-000000000015,1,Consulting Services,3,4000,12000
20000000-0000-0000-0000-000000000030,10000000-0000-0000-0000-000000000015,2,Annual Maintenance,2,3000,6000

20000000-0000-0000-0000-000000000031,10000000-0000-0000-0000-000000000016,1,Construction Equipment,5,15000,75000
20000000-0000-0000-0000-000000000032,10000000-0000-0000-0000-000000000016,2,Operator Training,2,10000,20000

20000000-0000-0000-0000-000000000033,10000000-0000-0000-0000-000000000017,1,Office Furniture,4,3000,12000
20000000-0000-0000-0000-000000000034,10000000-0000-0000-0000-000000000017,2,Delivery Charges,3,3000,9000

20000000-0000-0000-0000-000000000035,10000000-0000-0000-0000-000000000018,1,Electrical Components,6,4000,24000
20000000-0000-0000-0000-000000000036,10000000-0000-0000-0000-000000000018,2,Installation Materials,3,3000,9000

20000000-0000-0000-0000-000000000037,10000000-0000-0000-0000-000000000019,1,Security Equipment,4,5000,20000
20000000-0000-0000-0000-000000000038,10000000-0000-0000-0000-000000000019,2,Configuration Services,2,4000,8000

20000000-0000-0000-0000-000000000039,10000000-0000-0000-0000-000000000020,1,Heavy Machinery Rental,4,15000,60000
20000000-0000-0000-0000-000000000040,10000000-0000-0000-0000-000000000020,2,Transportation Charges,2,6000,12000